id;name;icon;to;drawer
1;JavaScript;lightbulb_outline;/js;JavaScriptDrawer
2;VueJS;lightbulb_outline;/vue-js;VueJSDrawer
3;Vuetify;lightbulb_outline;;
4;HTML5;lightbulb_outline;;
5;CSS3;lightbulb_outline;;
6;WebPack;lightbulb_outline;;
7;SASS/SCSS;lightbulb_outline;;
8;Prettier;lightbulb_outline;;
9;ESLint;lightbulb_outline;;
10;Babel;lightbulb_outline;;
11;BrowsersList;lightbulb_outline;;
12;vue-router;lightbulb_outline;;
13;VUEX;lightbulb_outline;;
14;Material Icons;lightbulb_outline;;
15;MDI;lightbulb_outline;;
